datestop,sex,race,age,city
01242004,M,P,18,BROOKLYN
01242004,M,Q,19,BROOKLYN
01272004,M,B,17,BROOKLYN
01292004,M,B,20,BROOKLYN
01302004,F,B,24,BROOKLYN
01302004,M,B,17,BROOKLYN
01302004,M,B,20,BROOKLYN
01302004,M,B,46,BROOKLYN
02052004,M,B,33,BROOKLYN
02062004,M,B,33,BROOKLYN
02072004,M,B,42,BROOKLYN
02072004,Z,Z,19,BROOKLYN
02082004,F,B,31,BROOKLYN
02082004,M,B,17,BROOKLYN
02102004,Z,Z,42,BROOKLYN
02162004,M,B,20,BROOKLYN
02172004,M,Q,20,BROOKLYN
02182004,M,B,20,BROOKLYN
02202004,M,B,19,BROOKLYN
02202004,M,Z,24,BROOKLYN
02202004,Z,Z,30,BROOKLYN
02212004,M,B,24,BROOKLYN
02212004,M,Q,19,BROOKLYN
02212004,M,Q,18,BROOKLYN
02212004,M,Q,19,BROOKLYN
02212004,Z,Z,16,BROOKLYN
02232004,M,Q,31,BROOKLYN
02252004,M,B,15,BROOKLYN
02252004,M,B,21,BROOKLYN
02252004,M,Q,25,BROOKLYN
02272004,M,Z,50,BROOKLYN
02282004,Z,B,20,BROOKLYN
03062004,M,W,17,BROOKLYN
03062004,M,W,17,BROOKLYN
03102004,M,B,33,BROOKLYN
03122004,M,B,31,BROOKLYN
03122004,M,B,19,BROOKLYN
03122004,Z,Z,28,BROOKLYN
03132004,M,B,16,BROOKLYN
03152004,M,B,17,BROOKLYN
03152004,M,B,34,BROOKLYN
03242004,M,B,50,BROOKLYN
03242004,M,B,16,BROOKLYN
03242004,M,B,23,BROOKLYN
03242004,M,B,21,BROOKLYN
03242004,M,Q,18,BROOKLYN
03262004,M,B,22,BROOKLYN
03292004,F,B,17,BROOKLYN
03302004,M,B,15,BROOKLYN
04032004,M,B,15,BROOKLYN
04032004,M,Q,15,BROOKLYN
04082004,M,B,25,BROOKLYN
04132004,M,B,40,BROOKLYN
04162004,M,Q,36,BROOKLYN
04172004,M,B,23,BROOKLYN
04232004,M,B,21,BROOKLYN
04292004,M,B,33,BROOKLYN
05022004,M,Z,50,BROOKLYN
05262004,M,B,27,BROOKLYN
05292004,M,B,28,BROOKLYN
05292004,M,Q,22,BROOKLYN
06022004,M,B,29,BROOKLYN
06032004,M,Q,23,BROOKLYN
06072004,Z,Z,44,BROOKLYN
06102004,M,B,26,BROOKLYN
06112004,M,Q,19,BROOKLYN
06142004,Z,Z,24,BROOKLYN
06162004,M,B,18,BROOKLYN
06172004,M,B,14,BROOKLYN
06192004,M,B,19,BROOKLYN
06262004,Z,Z,20,BROOKLYN
06282004,M,B,15,BROOKLYN
06292004,M,B,16,BROOKLYN
06302004,M,Z,16,BROOKLYN
07042004,M,B,21,BROOKLYN
07072004,M,B,19,BROOKLYN
07072004,M,B,17,BROOKLYN
07122004,M,B,13,BROOKLYN
07122004,M,B,16,BROOKLYN
07222004,M,B,19,BROOKLYN
07292004,M,B,23,BROOKLYN
08012004,M,B,29,BROOKLYN
08012004,M,B,25,BROOKLYN
08022004,M,B,45,BROOKLYN
08032004,M,B,15,BROOKLYN
08042004,M,B,21,BROOKLYN
08072004,M,P,19,BROOKLYN
08072004,M,P,18,BROOKLYN
08072004,M,P,19,BROOKLYN
08072004,M,Q,19,BROOKLYN
08072004,M,Q,18,BROOKLYN
08072004,M,Z,19,BROOKLYN
08092004,F,Z,23,BROOKLYN
08092004,M,B,21,BROOKLYN
08092004,M,B,19,BROOKLYN
08092004,M,B,18,BROOKLYN
08092004,M,Z,20,BROOKLYN
08162004,M,B,20,BROOKLYN
08182004,M,Q,17,BROOKLYN
08182004,M,Q,17,BROOKLYN
08182004,M,Q,28,BROOKLYN
08192004,M,B,26,BROOKLYN
08252004,M,Q,19,BROOKLYN
08252004,M,Q,18,BROOKLYN
08252004,Z,Z,20,BROOKLYN
08262004,M,Q,20,BROOKLYN
08292004,M,B,30,BROOKLYN
08312004,Z,Z,34,BROOKLYN
09042004,M,Q,31,BROOKLYN
09112004,M,B,16,BROOKLYN
09122004,M,B,47,BROOKLYN
09122004,M,B,19,BROOKLYN
09122004,M,B,15,BROOKLYN
09262004,M,B,14,BROOKLYN
09262004,M,B,14,BROOKLYN
10052004,M,B,24,BROOKLYN
10052004,M,B,26,BROOKLYN
10052004,M,B,26,BROOKLYN
10052004,M,Q,26,BROOKLYN
10172004,M,B,26,BROOKLYN
10272004,M,B,50,BROOKLYN
11012004,M,Q,23,BROOKLYN
11092004,M,B,26,BROOKLYN
11092004,M,B,31,BROOKLYN
11142004,M,Q,58,BROOKLYN
02212004,M,Q,19,BROOKLYN
03012004,M,B,22,BROOKLYN
02122004,M,P,37,BROOKLYN
02272004,M,Z,25,BROOKLYN
03312004,M,B,25,BROOKLYN
05282004,M,B,27,BROOKLYN
11062004,F,B,43,BROOKLYN
01032004,F,B,47,BROOKLYN
01122004,M,B,26,BROOKLYN
01242004,M,Q,20,BROOKLYN
02062004,M,Q,18,BROOKLYN
02102004,F,B,24,BROOKLYN
02252004,Z,Z,21,BROOKLYN
04212004,M,Q,30,BROOKLYN
04272004,M,Q,29,BROOKLYN
06202004,M,P,38,BROOKLYN
08242004,M,Q,24,BROOKLYN
02012004,M,B,26,BROOKLYN
02252004,M,B,27,BROOKLYN
03242004,M,B,17,BROOKLYN
04022004,M,B,19,BROOKLYN
05012004,M,B,17,BROOKLYN
08272004,M,B,19,BROOKLYN
10242004,M,B,32,BROOKLYN
10262004,M,B,24,BROOKLYN
10262004,M,B,20,BROOKLYN
10262004,M,Q,21,BROOKLYN
09122004,M,B,40,BROOKLYN
01012004,M,B,29,BROOKLYN
01012004,M,B,18,BROOKLYN
01012004,M,B,19,BROOKLYN
01032004,F,Q,22,BROOKLYN
01032004,M,B,35,BROOKLYN
01032004,M,B,42,BROOKLYN
01032004,M,Q,50,BROOKLYN
01032004,M,Z,50,BROOKLYN
01062004,M,Q,57,BROOKLYN
01122004,M,B,24,BROOKLYN
01182004,M,B,18,BROOKLYN
01192004,M,B,24,BROOKLYN
01192004,M,B,22,BROOKLYN
01232004,M,B,17,BROOKLYN
01242004,M,B,37,BROOKLYN
01242004,M,P,39,BROOKLYN
01262004,Z,B,33,BROOKLYN
01282004,M,Q,26,BROOKLYN
01292004,M,B,20,BROOKLYN
01302004,M,B,30,BROOKLYN
02012004,M,B,25,BROOKLYN
02022004,M,Q,21,BROOKLYN
02062004,M,B,39,BROOKLYN
02062004,M,B,23,BROOKLYN
02072004,M,B,26,BROOKLYN
02072004,M,B,32,BROOKLYN
02072004,M,B,33,BROOKLYN
02122004,M,P,53,BROOKLYN
02152004,M,B,46,BROOKLYN
